text-index,genre,complexity
1,academic,0
2,academic,0
3,academic,0
4,academic,0
5,academic,0
6,academic,0
7,academic,0
8,academic,0
9,academic,0
10,academic,0
11,academic,0
12,academic,0
13,academic,0
14,academic,0
15,academic,0
16,academic,0
17,academic,0
18,academic,0
19,academic,0
20,academic,0
21,academic,0
22,academic,0
23,academic,0
24,academic,0
25,academic,0
26,academic,0
27,academic,0
28,academic,0
29,academic,0
30,academic,0
31,conversations,0
32,conversations,0
33,conversations,0
34,conversations,0
35,conversations,0
36,conversations,0
37,conversations,0
38,conversations,0
39,conversations,0
40,conversations,0
41,conversations,0
42,conversations,0
43,conversations,0
44,conversations,0
45,conversations,0
46,conversations,0
47,conversations,0
48,conversations,0
49,conversations,0
50,conversations,0
51,conversations,0
52,conversations,0
53,conversations,0
54,conversations,0
55,conversations,0
56,conversations,0
57,conversations,0
58,conversations,0
59,conversations,0
60,conversations,0
61,fiction,0
62,fiction,0
63,fiction,0
64,fiction,0
65,fiction,0
66,fiction,0
67,fiction,0
68,fiction,0
69,fiction,0
70,fiction,0
71,fiction,0
72,fiction,0
73,fiction,0
74,fiction,0
75,fiction,0
76,fiction,0
77,fiction,0
78,fiction,0
79,fiction,0
80,fiction,0
81,fiction,0
82,fiction,0
83,fiction,0
84,fiction,0
85,fiction,0
86,news,0
87,news,0
88,news,0
89,news,0
90,news,0
91,news,0
92,news,0
93,news,0
94,news,0
95,news,0
96,news,0
97,news,0
98,news,0
99,news,0
100,news,0
101,news,0
102,news,0
103,news,0
104,news,0
105,news,0
106,news,0
107,news,0
108,news,0
109,news,0
110,news,0
111,news,0
112,news,0
113,news,0
114,news,0
115,news,0
116,news,0
117,news,0
118,news,0
119,news,0
120,news,0
121,news,0
122,news,0
123,news,0
124,news,0
125,news,0
126,news,0
127,news,0
128,news,0
129,news,0
130,news,0
131,news,0
132,news,0
133,news,0
134,news,0
135,news,0
136,news,0
137,news,0
138,news,0
139,news,0
140,news,0
141,news,0
142,news,0
143,news,0
144,news,0
145,news,0
146,news,0
147,news,0
148,news,0
149,news,0
150,news,0
151,news,0
152,news,0
153,news,0
154,news,0
155,news,0
156,news,0
157,news,0
158,news,0
159,news,0
160,news,0
161,news,0
162,news,0
163,news,0
164,news,0
165,news,0
166,news,0
167,news,0
168,news,0
169,news,0
170,news,0
171,news,0
172,news,0
173,news,0
174,news,0
175,news,0
176,news,0
177,news,0
178,news,0
179,news,0
180,news,0
181,news,0
182,news,0
